630,,account,date,description,amount,category,`
housing,80,BMO_CHECKING,2023-07-13,NEW HONG FATT B,28,food_drink,FALSE
utilities,121,BMO_CHECKING,2023-07-13,NEW HONG FATT B,28,food_drink,FALSE
telecommunication,79,BMO_CHECKING,2023-07-12, TF 0005191230208404641,101.02,food_drink,FALSE
subscriptions,120,BMO_CHECKING,2023-07-12, TF 0005191230208404641,101.02,credit_card_payment,FALSE
bank_fees,1705,AMEX,2023-07-11,TIM HORTONS #2387 TORONTO,10.15,food_drink,FALSE
food_drink,3139,RBC_Chequing,2023-07-11,E-TRF AUTODEPOSIT,-2000,etransfer_in,FALSE
alcohol,3138,RBC_Chequing,2023-07-10,Transfer,22.6,etransfer_out,FALSE
groceries,1703,AMEX,2023-07-09,BARONESS 001 TORONTO,6.72,food_drink,FALSE
clothing_and_accessories,1704,AMEX,2023-07-09,METRO 759 TORONTO,50.17,groceries,FALSE
personal_care,3155,RBC_Visa,2023-07-09,PAYMENT - THANK YOU / PAIEMENT - MERCI,22.6,credit_card_payment,FALSE
health,1700,AMEX,2023-07-08,BUTTER BAKER 001 TORONTO,7.9,food_drink,FALSE
shopping,1701,AMEX,2023-07-08,TST-PAI NORTHERN THAI TORONTO,29.33,food_drink,FALSE
furniture,1702,AMEX,2023-07-08,UBER EATS TORONTO,11.14,food_drink,FALSE
office_supplies,1698,AMEX,2023-07-07,2 CATS TORONTO,26.55,food_drink,FALSE
education,1699,AMEX,2023-07-07,CINEPLEX REC ROOM RO TORONTO,24.69,alcohol,FALSE
transportation,3137,RBC_Chequing,2023-07-07,Email Trfs,-23.1,income_other,FALSE
travel_accomodations,1694,AMEX,2023-07-06,BARONESS 001 TORONTO,6.72,food_drink,FALSE
entertainment,1695,AMEX,2023-07-06,REXALL PHARMACY #0745 T TORONTO,26.88,personal_care,FALSE
,1696,AMEX,2023-07-06,SHOPPERS DRUG MART #082 TORONTO,11.06,personal_care,FALSE
credit_card_payment,1697,AMEX,2023-07-06,TIM HORTONS #2387 TORONTO,10.15,food_drink,FALSE
debt_payments,3132,RBC_Chequing,2023-07-06,E-TRF AUTODEPOSIT,-5,etransfer_in,FALSE
other,3133,RBC_Chequing,2023-07-06,E-TRF AUTODEPOSIT,-16,etransfer_in,FALSE
income_wages,3134,RBC_Chequing,2023-07-06,E-TRF AUTODEPOSIT,-50,etransfer_in,FALSE
income_reimbursement,3135,RBC_Chequing,2023-07-06,E-TRF AUTODEPOSIT,-3000,etransfer_in,FALSE
income_government,3136,RBC_Chequing,2023-07-06,Email Trfs,30,etransfer_out,FALSE
income_investments,78,BMO_CHECKING,2023-07-05,CANADA FPT/FPT,-432.08,income_government,FALSE
income_other,119,BMO_CHECKING,2023-07-05,CANADA FPT/FPT,-432.08,income_government,FALSE
transfer_in,1676,RBC_DIRECT_INVESTING,2023-07-05,Distribution ZSP BMO S&P 500 INDEX ETF UNIT in CAD,-30.13,income_other,FALSE
transfer_out,1692,AMEX,2023-07-05,METRO 759 TORONTO,40.67,groceries,FALSE
etransfer_out,1693,AMEX,2023-07-05,TWILIGHT CAFE 001 TORONTO,10.17,food_drink,FALSE
etransfer_in,1803,AMEX,2023-07-05,MEMBERSHIP FEE INSTALLMENT,12.99,bank_fees,FALSE
,1804,AMEX,2023-07-05,UBER EATS TORONTO,28.05,food_drink,FALSE
,77,BMO_CHECKING,2023-07-04,ROL SAN RESTAUR,94.95,food_drink,FALSE
,118,BMO_CHECKING,2023-07-04,ROL SAN RESTAUR,94.95,food_drink,FALSE
,1799,AMEX,2023-07-04,LADERACH (CANADA) INC. TORONTO,4.27,food_drink,FALSE
,1800,AMEX,2023-07-04,MIZZICA GELATERIA & CAF Toronto,8.42,food_drink,FALSE
,1801,AMEX,2023-07-04,ROLLTATION TORONTO TORONTO,13.01,food_drink,FALSE
,1802,AMEX,2023-07-04,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3127,RBC_Chequing,2023-07-04,E-TRF AUTODEPOSIT,-23.75,etransfer_in,FALSE
,3128,RBC_Chequing,2023-07-04,E-TRF AUTODEPOSIT,-47.5,etransfer_in,FALSE
,3129,RBC_Chequing,2023-07-04,E-TRF AUTODEPOSIT,-3000,etransfer_in,FALSE
,3130,RBC_Chequing,2023-07-04,Email Trfs,7.6,etransfer_out,FALSE
,3131,RBC_Chequing,2023-07-04,Email Trfs,1475,etransfer_out,FALSE
,3149,RBC_Savings,2023-07-04,DEPOSIT INTEREST,-15.36,income_other,FALSE
,3150,RBC_Savings,2023-07-04,BONUS DEP INT,34.07,income_other,FALSE
,1691,AMEX,2023-07-03,AMERICAN EAGLE OUTFITTE MISSISSAUGA,138.29,clothing_and_accessories,FALSE
,1795,AMEX,2023-07-02,CHURCH'S CHICKEN 1120 TORONTO,6.76,food_drink,FALSE
,1796,AMEX,2023-07-02,METRO 759 TORONTO,40.46,groceries,FALSE
,1797,AMEX,2023-07-02,ROLLTATION 10 DUNDAS TO TORONTO,15.02,food_drink,FALSE
,1798,AMEX,2023-07-02,TST-PAI NORTHERN THAI TORONTO,32.38,food_drink,FALSE
,1790,AMEX,2023-07-01,FANTUAN DELIVERY BURNABY,17.75,food_drink,FALSE
,1791,AMEX,2023-07-01,KIN KIN BAKERY 001 TORONTO,2.82,food_drink,FALSE
,1792,AMEX,2023-07-01,KIN KIN BAKERY 001 TORONTO,0.84,food_drink,FALSE
,1793,AMEX,2023-07-01,SHOPPERS DRUG MART #140 TORONTO,12.42,personal_care,FALSE
,1794,AMEX,2023-07-01,UBER PASS TORONTO,11.29,transportation,FALSE
,3154,RBC_Visa,2023-07-01,DAINTIES MACARON TORONTO ON,3.67,food_drink,FALSE
,1786,AMEX,2023-06-30,GOOGLE *YOUTUBEPREMIUM G.CO/HELPPAY#,7.34,subscriptions,FALSE
,1787,AMEX,2023-06-30,LADERACH (CANADA) INC. TORONTO,4.27,food_drink,FALSE
,1788,AMEX,2023-06-30,POPEYES #2516 TORONTO,12.98,food_drink,FALSE
,1789,AMEX,2023-06-30,SHOPPERS DRUG MART #082 TORONTO,8.46,personal_care,FALSE
,3125,RBC_Chequing,2023-06-30,E-TRF AUTODEPOSIT,-13.49,etransfer_in,FALSE
,3126,RBC_Chequing,2023-06-30,Email Trfs,10,etransfer_out,FALSE
,3151,RBC_Visa,2023-06-30,BANH MI BOYS TORONTO ON,9.61,food_drink,FALSE
,3152,RBC_Visa,2023-06-30,BANH MI BOYS TORONTO ON,5.65,food_drink,FALSE
,3153,RBC_Visa,2023-06-30,DAINTIES MACARON TORONTO ON,3.67,food_drink,FALSE
,1782,AMEX,2023-06-29,PIZZERIA BADIALI Toronto,107.92,food_drink,FALSE
,1783,AMEX,2023-06-29,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,1784,AMEX,2023-06-29,TIM HORTONS #2387 TORONTO,3.66,food_drink,FALSE
,1785,AMEX,2023-06-29,TST-PAI NORTHERN THAI TORONTO,32.93,food_drink,FALSE
,3121,RBC_Chequing,2023-06-29,E-TRF AUTODEPOSIT,-13.49,etransfer_in,FALSE
,3122,RBC_Chequing,2023-06-29,E-TRF AUTODEPOSIT,-13.49,etransfer_in,FALSE
,3123,RBC_Chequing,2023-06-29,E-TRF AUTODEPOSIT,-74.25,etransfer_in,FALSE
,3124,RBC_Chequing,2023-06-29,STAFF - PAYROLL,-1592.44,income_wages,FALSE
,3118,RBC_Chequing,2023-06-28,E-TRF AUTODEPOSIT,-13.49,etransfer_in,FALSE
,3119,RBC_Chequing,2023-06-28,E-TRF AUTODEPOSIT,-13.49,etransfer_in,FALSE
,3120,RBC_Chequing,2023-06-28,E-TRF AUTODEPOSIT,-13.49,etransfer_in,FALSE
,76,BMO_CHECKING,2023-06-27,UNIVERSITY OF B BUS/ENT,1337.71,education,FALSE
,117,BMO_CHECKING,2023-06-27,UNIVERSITY OF B BUS/ENT,1337.71,education,FALSE
,1779,AMEX,2023-06-27,MANCHU WOK # 2742 20204 TORONTO,16.95,food_drink,FALSE
,1780,AMEX,2023-06-27,METRO 759 TORONTO,56.44,groceries,FALSE
,1781,AMEX,2023-06-27,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3116,RBC_Chequing,2023-06-27,Withdrawal,140,other,FALSE
,3117,RBC_Chequing,2023-06-27,MISC PAYMENT,867.88,other,FALSE
,74,BMO_CHECKING,2023-06-26,INTERAC ETRNSFR SENT CHRIS HAUN 20231751251WBEYFW,40,etransfer_out,FALSE
,75,BMO_CHECKING,2023-06-26,AMEX FTD/RII,1301.95,credit_card_payment,FALSE
,115,BMO_CHECKING,2023-06-26,INTERAC ETRNSFR SENT CHRIS HAUN 20231751251WBEYFW,40,etransfer_out,FALSE
,116,BMO_CHECKING,2023-06-26,AMEX FTD/RII,1301.95,credit_card_payment,FALSE
,1774,AMEX,2023-06-26,MCDONALD'S 22248 OTTAWA,5.86,food_drink,FALSE
,1775,AMEX,2023-06-26,PAYMENT RECEIVED - THANK YOU,-1301.95,credit_card_payment,FALSE
,1776,AMEX,2023-06-26,PAYMENT RECEIVED - THANK YOU,-867.88,credit_card_payment,FALSE
,1777,AMEX,2023-06-26,STARBUCKS 800-782-72 800-782-7282,15,food_drink,FALSE
,1778,AMEX,2023-06-26,UBER EATS TORONTO,36.79,food_drink,FALSE
,1766,AMEX,2023-06-25,AULDE DUBLINER & POUR H OTTAWA,10.67,food_drink,FALSE
,1767,AMEX,2023-06-25,HALL ORCHARDS LTD Brockville,6.5,food_drink,FALSE
,1768,AMEX,2023-06-25,Ottawa Marriott Hotel 1 Ottawa,210.36,travel_accomodations,FALSE
,1769,AMEX,2023-06-25,SEPHORA RIDEAU CENTR OTTAWA,17.75,personal_care,FALSE
,1770,AMEX,2023-06-25,SPOTIFY STOCKHOLM,5.24,subscriptions,FALSE
,1771,AMEX,2023-06-25,STARBUCKS 800-782-72 800-782-7282,10,food_drink,FALSE
,1772,AMEX,2023-06-25,THAI KITCHEN CATERING S Ottawa,32.77,food_drink,FALSE
,1773,AMEX,2023-06-25,UBER EATS TORONTO,24.84,food_drink,FALSE
,1761,AMEX,2023-06-24,DEACON BRODIES PUB INC. OTTAWA,12.38,food_drink,FALSE
,1762,AMEX,2023-06-24,GOONEYS SANDWICH WORKS OTTAWA,15.19,food_drink,FALSE
,1763,AMEX,2023-06-24,LORD ELGIN HOTEL LORD E OTTAWA,408.96,travel_accomodations,FALSE
,1764,AMEX,2023-06-24,MCDONALD'S 22248 OTTAWA,2.1,food_drink,FALSE
,1765,AMEX,2023-06-24,TIM HORTONS #0537 OTTAWA,3.66,food_drink,FALSE
,1758,AMEX,2023-06-23,GOONEYS SANDWICH WORKS OTTAWA,13.56,food_drink,FALSE
,1759,AMEX,2023-06-23,PANCHO VILLA OTTAWA OTTAWA,31.12,food_drink,FALSE
,1760,AMEX,2023-06-23,STARBUCKS 800-782-72 800-782-7282,20,food_drink,FALSE
,1749,AMEX,2023-06-22,BOOSTER JUICE # 106 TOR TORONTO,9.71,food_drink,FALSE
,1750,AMEX,2023-06-22,DEACON BRODIES PUB INC. OTTAWA,48.07,food_drink,FALSE
,1751,AMEX,2023-06-22,HARVEST GREEN Toronto,12.49,food_drink,FALSE
,1752,AMEX,2023-06-22,LORD ELGIN HOTEL LORD E OTTAWA,204.48,travel_accomodations,FALSE
,1753,AMEX,2023-06-22,MCDONALD'S 40764 TORONTO,4.73,food_drink,FALSE
,1754,AMEX,2023-06-22,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,1755,AMEX,2023-06-22,UNION CHICKEN FRONT LIM Toronto,16.95,food_drink,FALSE
,1756,AMEX,2023-06-22,VIA RAIL 42004 TORONTO,28.25,transportation,FALSE
,1757,AMEX,2023-06-22,VIA RAIL 42004 TORONTO,28.25,transportation,FALSE
,1747,AMEX,2023-06-21,17 TILES 001 TORONTO,9.03,entertainment,FALSE
,1748,AMEX,2023-06-21,FANTUAN DELIVERY BURNABY,17.75,food_drink,FALSE
,3175,BMO_MASTERCARD,2023-06-21,INTEREST ADVANCES,1.68,other,FALSE
,73,BMO_CHECKING,2023-06-20,BR.3891 INTERET SUR LE CREDIT DU/BOC INT ON 160623CR,-1.5,etransfer_out,FALSE
,114,BMO_CHECKING,2023-06-20,BR.3891 INTERET SUR LE CREDIT DU/BOC INT ON 160623CR,-1.5,income_other,FALSE
,1744,AMEX,2023-06-20,MANPUKU TORONTO TORONTO,17.22,food_drink,FALSE
,1745,AMEX,2023-06-20,PAYMENT RECEIVED - THANK YOU,-534.39,credit_card_payment,FALSE
,1746,AMEX,2023-06-20,TIM HORTONS #2387 TORONTO,7.9,food_drink,FALSE
,3115,RBC_Chequing,2023-06-20,MISC PAYMENT,534.39,credit_card_payment,FALSE
,1742,AMEX,2023-06-19,ROLLTATION 10 DUNDAS TO TORONTO,15.02,food_drink,FALSE
,1743,AMEX,2023-06-19,SHOPPERS DRUG MART #140 TORONTO,19.34,personal_care,FALSE
,3113,RBC_Chequing,2023-06-19,E-TRF AUTODEPOSIT,-21.77,etransfer_in,FALSE
,3114,RBC_Chequing,2023-06-19,E-TRF AUTODEPOSIT,-25.28,etransfer_in,FALSE
,1737,AMEX,2023-06-18,17 TILES 001 TORONTO,9.93,entertainment,FALSE
,1738,AMEX,2023-06-18,AMATO GYROS 212057642 TORONTO,10.16,food_drink,FALSE
,1739,AMEX,2023-06-18,BAKE CODE CROISSANTERIE TORONTO,6.22,food_drink,FALSE
,1740,AMEX,2023-06-18,TST-THE DINERS CORNER TORONTO,53.93,food_drink,FALSE
,1741,AMEX,2023-06-18,UBER EATS TORONTO,8.58,food_drink,FALSE
,1735,AMEX,2023-06-17,MCDONALD'S 29051 TORONTO,9.81,food_drink,FALSE
,1736,AMEX,2023-06-17,METRO 759 TORONTO,84.35,groceries,FALSE
,3174,BMO_MASTERCARD,2023-06-17,HMART - DUNDAS TORONTO ON,11.29,groceries,FALSE
,71,BMO_CHECKING,2023-06-16, TF 0005191230208404641,359.3,credit_card_payment,FALSE
,72,BMO_CHECKING,2023-06-16,BR.2000 FEE REVERSAL 1-8734727167,-16.95,income_reimbursement,FALSE
,112,BMO_CHECKING,2023-06-16, TF 0005191230208404641,359.3,credit_card_payment,FALSE
,113,BMO_CHECKING,2023-06-16,BR.2000 FEE REVERSAL 1-8734727167,-16.95,income_reimbursement,FALSE
,1734,AMEX,2023-06-16,17 TILES 001 TORONTO,20.31,entertainment,FALSE
,3173,BMO_MASTERCARD,2023-06-16,TRSF FROM/DE ACCT/CPT 2503-XXXX-940,-359.3,etransfer_in,FALSE
,69,BMO_CHECKING,2023-06-15,NEW HONG FATT B,43.4,food_drink,FALSE
,70,BMO_CHECKING,2023-06-15,AB STUDENT AID MSP/DIV,-4060,income_government,FALSE
,110,BMO_CHECKING,2023-06-15,NEW HONG FATT B,43.4,food_drink,FALSE
,111,BMO_CHECKING,2023-06-15,AB STUDENT AID MSP/DIV,-4060,income_government,FALSE
,1732,AMEX,2023-06-15,KOODO MOBILE PAC KOODO EDMONTON,43,telecommunication,FALSE
,1733,AMEX,2023-06-15,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3112,RBC_Chequing,2023-06-15,STAFF - PAYROLL,-1592.44,income_wages,FALSE
,1731,AMEX,2023-06-14,POPEYES #2516 TORONTO,9.03,food_drink,FALSE
,1726,AMEX,2023-06-13,MANPUKU TORONTO TORONTO,12.75,food_drink,FALSE
,1727,AMEX,2023-06-13,PIZZAIOLO TORONTO TORONTO,5.99,food_drink,FALSE
,1728,AMEX,2023-06-13,SHOPPERS DRUG MART #082 TORONTO,18.06,personal_care,FALSE
,1729,AMEX,2023-06-13,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,1730,AMEX,2023-06-13,UBER EATS TORONTO,29.1,food_drink,FALSE
,1721,AMEX,2023-06-11,17 TILES 001 TORONTO,16.94,entertainment,FALSE
,1722,AMEX,2023-06-11,BANG BANG ICE CREAM & B Toronto,5.51,food_drink,FALSE
,1723,AMEX,2023-06-11,BROCKTON VILLAGE BAKERY TORONTO,4.18,food_drink,FALSE
,1724,AMEX,2023-06-11,METRO 759 TORONTO,25.72,groceries,FALSE
,1725,AMEX,2023-06-11,PRESTO OSSINGTON STN TORONTO,20,food_drink,FALSE
,1719,AMEX,2023-06-10,10 DEAN Toronto,7.06,food_drink,FALSE
,1720,AMEX,2023-06-10,OSMOW'S SHAWARMA 212203 TORONTO,13.55,food_drink,FALSE
,3171,BMO_MASTERCARD,2023-06-10,IKKOUSHA CHICKEN RAMEN TORONTO ON,26.63,food_drink,FALSE
,3172,BMO_MASTERCARD,2023-06-10,DAINTIES MACARON TORONTO ON,8.19,food_drink,FALSE
,1715,AMEX,2023-06-09,BARONESS 001 TORONTO,6.72,food_drink,FALSE
,1716,AMEX,2023-06-09,BLAZE PIZZA 1091 416-979-3626,13.55,food_drink,FALSE
,1717,AMEX,2023-06-09,MCDONALD'S 40437 TORONTO,10.26,food_drink,FALSE
,1718,AMEX,2023-06-09,PAYMENT RECEIVED - THANK YOU,-1301.95,credit_card_payment,FALSE
,3111,RBC_Chequing,2023-06-09,MISC PAYMENT,1301.95,credit_card_payment,FALSE
,3170,BMO_MASTERCARD,2023-06-09,ROLLTATION 10 DUNDAS TORONTO ON,22.35,food_drink,FALSE
,1714,AMEX,2023-06-08,TIM HORTONS #2387 TORONTO,9.02,food_drink,FALSE
,3110,RBC_Chequing,2023-06-08,Email Trfs,11.17,etransfer_out,FALSE
,1711,AMEX,2023-06-06,MIZZICA GELATERIA & CAF Toronto,7.34,food_drink,FALSE
,1712,AMEX,2023-06-06,POPEYES #2516 TORONTO,6.76,food_drink,FALSE
,1713,AMEX,2023-06-06,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,1709,AMEX,2023-06-05,MCDONALD'S 40437 TORONTO,10.26,food_drink,FALSE
,1710,AMEX,2023-06-05,METRO 759 TORONTO,65.03,groceries,FALSE
,1884,AMEX,2023-06-05,MEMBERSHIP FEE INSTALLMENT,12.99,bank_fees,FALSE
,1885,AMEX,2023-06-05,UBER EATS TORONTO,25.8,food_drink,FALSE
,3107,RBC_Chequing,2023-06-05,E-TRF AUTODEPOSIT,-456,etransfer_in,FALSE
,3108,RBC_Chequing,2023-06-05,PAD CCRA,240.86,other,FALSE
,3109,RBC_Chequing,2023-06-05,WWW TRF DDA - 4880,2000,transfer_out,FALSE
,3148,RBC_Savings,2023-06-05,Transfer,-2000,transfer_in,FALSE
,1706,AMEX,2023-06-04,BARONESS 001 TORONTO,6.72,food_drink,FALSE
,1707,AMEX,2023-06-04,TWILIGHT CAFE 001 TORONTO,10.17,food_drink,FALSE
,1708,AMEX,2023-06-04,TWILIGHT CAFE 001 TORONTO,8.48,food_drink,FALSE
,1883,AMEX,2023-06-04,ROLLTATION 10 DUNDAS TO TORONTO,14.45,food_drink,FALSE
,3169,BMO_MASTERCARD,2023-06-04,BARBURRITO TORONTO ON,12.87,food_drink,FALSE
,1878,AMEX,2023-06-03,ROLLTATION 10 DUNDAS TO TORONTO,0.53,food_drink,FALSE
,1879,AMEX,2023-06-03,ROLLTATION 10 DUNDAS TO TORONTO,14.45,food_drink,FALSE
,1880,AMEX,2023-06-03,RW & CO. #2226 TORONTO,-134.28,income_reimbursement,FALSE
,1881,AMEX,2023-06-03,RW & CO. #2226 TORONTO,-101.52,income_reimbursement,FALSE
,1882,AMEX,2023-06-03,TONY'S Toronto,18.19,food_drink,FALSE
,1875,AMEX,2023-06-02,BARONESS 001 TORONTO,7.63,food_drink,FALSE
,1876,AMEX,2023-06-02,ROLLTATION 10 DUNDAS TO TORONTO,15.9,food_drink,FALSE
